pl2FileName,sessionName,areaName,blockNames,gratingsTask3DIndices,gratingsTask3DLogIndices,gratingsTask0DIndices,gratingsTask0DLogIndices,vepmIndices,aepmIndices,rfMappingOldIndices,spikeChannelPrefix,spikeChannelsToLoad,muaChannelsToLoad,lfpChannelsToLoad,spkcChannelsToLoad,directChannelsToLoad,pldChannels,plvChannels,pmChannels,piChannels,notes
20170529-all_merged_noWB.pl2,M20170529,PUL,"vepm4, vepm5, aepm1, aepm2, aepm3, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, rest1","11, 12, 13","2, 3, 4","10","1","1, 2","3, 4, 5",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170529-all_merged_noWB.pl2,M20170529,PUL,"vepm4, vepm5, aepm1, aepm2, aepm3, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, rest1","11, 12, 13","2, 3, 4","10","1","1, 2","3, 4, 5",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
20170601-all_merged_noWB.pl2,M20170601,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, vepm2, aepm2, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1, 13","2, 14",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170601-all_merged_noWB.pl2,M20170601,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, vepm2, aepm2, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1, 13","2, 14",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
20170608-all_merged_noWB.pl2,M20170608,PUL,"rest3, vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, vepm2, rest4","9, 10, 11","2, 3, 4","8","1","2","3",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170608-all_merged_noWB.pl2,M20170608,PUL,"rest3, vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, rfm5, vepm2, rest4","9, 10, 11","2, 3, 4","8","1","2","3",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
20170613-all_merged_noWB.pl2,M20170613,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1","2",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170613-all_merged_noWB.pl2,M20170613,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1","2",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
20170615-all_merged_noWB.pl2,M20170615,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, vepm2, vepm3, rest1","8, 9, 10, 11","2, 5, 6, 7","7","1","1, 13","2",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"vepm3: no trials"
20170615-all_merged_noWB.pl2,M20170615,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, rfm5, vepm2, vepm3, rest1","8, 9, 10, 11","2, 5, 6, 7","7","1","1, 13","2",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"vepm3: no trials"
20170618-all_merged_noWB.pl2,M20170618,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, g6, rfm5, vepm2, rest1","8, 9, 10, 11, 12","2, 3, 4, 5, 6","7","1","1, 14","2",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],"g3: fuller adjacent distractors, g4: fully bright distractors"
20170618-all_merged_noWB.pl2,M20170618,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, g6, rfm5, vepm2, rest1","8, 9, 10, 11, 12","2, 3, 4, 5, 6","7","1","1, 14","2",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],"g3: fuller adjacent distractors, g4: fully bright distractors"
20170621-all_merged_noWB.pl2,M20170621,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, vepm2, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1, 12","2",,SPK_SPKC,1:32,1:32,1:32,1:32,1:3,[],[],[],[],
20170621-all_merged_noWB.pl2,M20170621,PUL,"vepm1, aepm1, rfm1, rfm2, rfm3, rfm4, g1, g2, g3, g4, g5, vepm2, rfm5, rest1","8, 9, 10, 11","2, 3, 4, 5","7","1","1, 12","2",,SPK_SPKC,33:64,33:64,33:64,33:64,1:3,[],[],[],[],
